Name,AUC,Precision,Recall,F-score,Range-recall,ExistenceReward,OverlapReward,Range-precision,Range-Fscore,Precision@k,RangeAUC,Time,Number of Windows,Number of anomalies
ECG1,0.6354135751450549,0.37857900318133614,0.0845771144278607,0.13826491092176607,0.08418234651703926,0.17120622568093385,0.0624263767260656,0.23940603448555275,0.1245641867046618,0.0845771144278607,0.8707900844691462,61.20475649833679,229900,21105.0
ECG1_20k,0.8579051506875569,0.30716723549488056,0.13333333333333333,0.1859504132231405,0.17333333333333334,0.3333333333333333,0.13333333333333333,0.12227968110321052,0.14339791341701047,0.13333333333333333,0.9766103354065621,0.28980016708374023,20000,675.0
IOPS1,0.7193229123044501,0.291044776119403,0.18932038834951456,0.22941176470588237,0.05252525252525253,0.06060606060606061,0.0505050505050505,0.2824074074074074,0.0885761358241881,0.18932038834951456,0.949436885030384,0.2788424491882324,8784,206.0
SMD1,0.4728776765898234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3915021136634158,0.924781322479248,28479,2694.0
Occupancy1,0.1695756431104597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2577213605095712,0.07383608818054199,2665,972.0
ECG1+IOPS1,0.7592066654780183,0.12554112554112554,0.09875141884222474,0.11054637865311309,0.0862857142857143,0.11904761904761904,0.0780952380952381,0.0863703053346491,0.08632798908792257,0.09875141884222474,0.9054185239182254,0.9632210731506348,28784,881.0
SMD1+Occupancy1,0.3773547727732352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30846317542352936,1.0709781646728516,31144,3666.0
ECG1+IOPS1+Occupancy1,0.7652441801801223,0.14555256064690028,0.05828386400431732,0.0832369942196532,0.047095505467768244,0.08928571428571429,0.03654795326328174,0.12210886571514748,0.06797435211332593,0.05828386400431732,0.8670576297872901,1.0743904113769531,31449,1853.0
SMD1+ECG1+Occupancy1,0.5768868279535002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5229889583769564,2.0256567001342773,51144,4341.0
ECG1+IOPS1+SMD1+Occupancy1,0.6133294292082041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5036215028237649,2.5036792755126953,59928,4547.0
